Reference;Family;Genus;Species;Binomial;Group;life_span;growth_form;sla;sla_sd;sla_se;max_height;min_height;herbivores;tm;tm_var;tm_sd;tm_se;occ;Complete Reference
Gold_(1995);Apocynaceae;Asclepias;syriaca;Asclepias_syriaca;D;Perennial;Herb;15.83;;;6.447601182;;3;1.03;;;;13023;Gold, J. J., and J. S. Shore. 1995. Multiple paternity in Asclepias syriaca using a paired_fruit analysis. Canadian Journal of Botany 73:1212_1216.
Arnaud_(2010);Amaranthaceae;Beta;vulgaris;Beta_vulgaris;D;Annual;Herb;19.36;;;2;0.4;18;0.809;;;0.006;103070;"	Arnaud, J. F., S. Fenart, M. Cordellier, and J. Cuguen. 2010. Populations of weedy crop-wild hybrid beets show contrasting variation in mating system and population genetic structure. Evolutionary Applications 3:305-318."
Arnaud_(2010);Amaranthaceae;Beta;vulgaris;Beta_vulgaris;D;Annual;Herb;19.36;;;2;0.4;18;0.718;;;0.01;103070;"	Arnaud, J. F., S. Fenart, M. Cordellier, and J. Cuguen. 2010. Populations of weedy crop-wild hybrid beets show contrasting variation in mating system and population genetic structure. Evolutionary Applications 3:305-318."
Arnaud_(2010);Amaranthaceae;Beta;vulgaris;Beta_vulgaris;D;Annual;Herb;19.36;;;2;0.4;18;0.629;;;0.009;103070;"	Arnaud, J. F., S. Fenart, M. Cordellier, and J. Cuguen. 2010. Populations of weedy crop-wild hybrid beets show contrasting variation in mating system and population genetic structure. Evolutionary Applications 3:305-318."
Arnaud_(2010);Amaranthaceae;Beta;vulgaris;Beta_vulgaris;D;Annual;Herb;19.36;;;2;0.4;18;0.56;;;0.011;103070;"Arnaud	2010	Arnaud, J. F., S. Fenart, M. Cordellier, and J. Cuguen. 2010. Populations of weedy crop-wild hybrid beets show contrasting variation in mating system and population genetic structure. Evolutionary Applications 3:305-318."
Sun_(1990);Asteraceae;Bidens;pilosa;Bidens_pilosa;D;Annual;Herb;25.45091695;;;2;0.4;1;0.088;;0.039;;35277;Sun M, FR Ganders. 1990. Outcrossing rates and allozyme variation in rayed and rayless morphs of Bidens pilosa. Heredity 64: 139_143
Sun_(1990);Asteraceae;Bidens;pilosa;Bidens_pilosa;D;Annual;Herb;25.45091695;;;2;0.4;1;0.051;;0.03;;35277;Sun M, FR Ganders. 1990. Outcrossing rates and allozyme variation in rayed and rayless morphs of Bidens pilosa. Heredity 64: 139_143
Sun_(1990);Asteraceae;Bidens;pilosa;Bidens_pilosa;D;Annual;Herb;25.45091695;;;2;0.4;1;0.048;;0.024;;35277;Sun M, FR Ganders. 1990. Outcrossing rates and allozyme variation in rayed and rayless morphs of Bidens pilosa. Heredity 64: 139_143
Leach_(1993);Boraginaceae;Borago;officinalis;Borago_officinalis;D;Annual;Herb;20.01;;;0.5;0.12;1;0.915;;;;19062;Leach, C. R., A. Renfrey, and O. Mayo. 1993. Quantitatively determined self_incompatibility. IV. Pollination and seed set in Borago officinalis. Theoretical and Applied Genetics 85:755_760.
Damgaard_(1995);Brassicaceae;Brassica;napus;Brassica_napus;D;Annual;Herb;29.5;;;1.1;0.75;15;0.37;;;;47735;Damgaard, C., and R. J. Abbott. 1995. Positive correlations between selfing rate and pollen_ovule ratio within plant populations. Evolution 49:214_217.
Brown_(1974);Poaceae;Bromus;hordeaceus;Bromus_hordeaceus;M;Annual;Graminoid;20.34947907;;;0.621116274;;5;0.094;;;;286196;Brown, A. H. D., D. R. Marshall, and L. Albrecht. 1974. The maintenance of alcohol dehydrogenase polymorphism in Bromus mollis L. Australian Journal of Biological Science 27:545_559.
Jain_(1975);Poaceae;Bromus;hordeaceus;Bromus_hordeaceus;M;Annual;Graminoid;20.34947907;;;0.621116274;;5;0.035;;;;286196;Jain, S. K. 1975. Population structure and the effects of breeding system. Pp. 15_36 in O. H. Frankel and J. G. Hakwes, eds. Crop genetics resources for today and tomorrow. Cambridge University Press, Cambridge, U.K.
Schreiter_(2011);Scrophulariaceae;Buddleja;davidii;Buddleja_davidii;D;Perennial;Shrub;21.31;;;5;1;9;0.93;;0.026;;53501;Schreiter, S., Ebeling, S. K., Durka, W. 2011. Polymorphic microsatellite markers in the invasive shrub Buddleja davidii (Scrophulariaceae). American Journal of Botany. e39-e40.
Mahy_(1998);Ericaceae;Calluna;vulgaris;Calluna_vulgaris;D;Perennial;Shrub;9.1;;;2.2;0.08;84;0.73;;;;458131;Mahy, G., and A. L. Jacquemart. 1998. Mating system of Calluna vulgaris: self_sterility and outcrossing estimations. Canadian Journal of Botany 76:37_42.
Mahy_(1998);Ericaceae;Calluna;vulgaris;Calluna_vulgaris;D;Perennial;Shrub;9.1;;;2.2;0.08;84;0.71;;;;458131;Mahy, G., and A. L. Jacquemart. 1998. Mating system of Calluna vulgaris: self_sterility and outcrossing estimations. Canadian Journal of Botany 76:37_42.
Mahy_(1998);Ericaceae;Calluna;vulgaris;Calluna_vulgaris;D;Perennial;Shrub;9.1;;;2.2;0.08;84;0.9;;;;458131;Mahy, G., and A. L. Jacquemart. 1998. Mating system of Calluna vulgaris: self_sterility and outcrossing estimations. Canadian Journal of Botany 76:37_42.
Warwick_(1989);Asteraceae;Carduus;acanthoides;Carduus_acanthoides;D;Biennial;Herb;21.94;;;1;0.3;1;0.67;;;;19318;Warwick SI,  BK Thompson. 1989. The mating system in sympatric populations of Carduus nutans, C. acanthoides and their hybrid swarms. Heredity 63:329_337
Warwick_(1989);Asteraceae;Carduus;acanthoides;Carduus_acanthoides;D;Biennial;Herb;21.94;;;1;0.3;1;0.6;;;;19318;Warwick SI,  BK Thompson. 1989. The mating system in sympatric populations of Carduus nutans, C. acanthoides and their hybrid swarms. Heredity 63:329_337
Warwick_(1989);Asteraceae;Carduus;acanthoides;Carduus_acanthoides;D;Biennial;Herb;21.94;;;1;0.3;1;0.87;;;;19318;Warwick SI,  BK Thompson. 1989. The mating system in sympatric populations of Carduus nutans, C. acanthoides and their hybrid swarms. Heredity 63:329_337
Smyth_(1984);Asteraceae;Carduus;nutans;Carduus_nutans;D;Biennial;Herb;19.4;;;0.9;0.3;24;1.08;;;;50114;Smyth CA, JL Hamrick. 1984. Variation in estimates of outcrossing in musk thistle populations. J Hered 75:303_307
Smyth_(1984);Asteraceae;Carduus;nutans;Carduus_nutans;D;Biennial;Herb;19.4;;;0.9;0.3;24;1.13;;;;50114;Smyth CA, JL Hamrick. 1984. Variation in estimates of outcrossing in musk thistle populations. J Hered 75:303_307
Warwick_(1989)b;Asteraceae;Carduus;nutans;Carduus_nutans;D;Biennial;Herb;19.4;;;0.9;0.3;24;0.84;;;;50114;Warwick SI,  BK Thompson. 1989. The mating system in sympatric populations of Carduus nutans, C. acanthoides and their hybrid swarms. Heredity 63:329_337
Warwick_(1989)b;Asteraceae;Carduus;nutans;Carduus_nutans;D;Biennial;Herb;19.4;;;0.9;0.3;24;0.75;;;;50114;Warwick SI,  BK Thompson. 1989. The mating system in sympatric populations of Carduus nutans, C. acanthoides and their hybrid swarms. Heredity 63:329_337
Warwick_(1989)b;Asteraceae;Carduus;nutans;Carduus_nutans;D;Biennial;Herb;19.4;;;0.9;0.3;24;0.71;;;;50114;Warwick SI,  BK Thompson. 1989. The mating system in sympatric populations of Carduus nutans, C. acanthoides and their hybrid swarms. Heredity 63:329_337
Ferriol_(2011);Pinaceae;Cedrus;atlantica;Cedrus_atlantica;G;Perennial;Tree;10.76735617;;;47.83056504;;2;0.91;;;;3596;Ferriol, M., Pichot, C., Lefreve, F. 2011. Variation of selfing rate and inbreeding depression among individuals and across generations within an admixed Cedrus population. Heredity. 106: 146-157.
Sun_(1998);Asteraceae;Centaurea;solstitialis;Centaurea_solstitialis;D;Annual;Herb;27.77;;;0.8;0.3;1;0.986;;;0.013;9448;Sun, M., and K. Ritland. 1998. Mating system of yellow starthistle (Centaurea solstitialis), a successful colonizer in North America. Heredity 80:225_232.
Sun_(1998);Asteraceae;Centaurea;solstitialis;Centaurea_solstitialis;D;Annual;Herb;27.77;;;0.8;0.3;1;0.99;;;0.015;9448;Sun, M., and K. Ritland. 1998. Mating system of yellow starthistle (Centaurea solstitialis), a successful colonizer in North America. Heredity 80:225_232.
Sun_(1998);Asteraceae;Centaurea;solstitialis;Centaurea_solstitialis;D;Annual;Herb;27.77;;;0.8;0.3;1;0.948;;;0.039;9448;Sun, M., and K. Ritland. 1998. Mating system of yellow starthistle (Centaurea solstitialis), a successful colonizer in North America. Heredity 80:225_232.
Sun_(1998);Asteraceae;Centaurea;solstitialis;Centaurea_solstitialis;D;Annual;Herb;27.77;;;0.8;0.3;1;0.986;;;0.027;9448;Sun, M., and K. Ritland. 1998. Mating system of yellow starthistle (Centaurea solstitialis), a successful colonizer in North America. Heredity 80:225_232.
Sun_(1998);Asteraceae;Centaurea;solstitialis;Centaurea_solstitialis;D;Annual;Herb;27.77;;;0.8;0.3;1;0.989;;;0.014;9448;Sun, M., and K. Ritland. 1998. Mating system of yellow starthistle (Centaurea solstitialis), a successful colonizer in North America. Heredity 80:225_232.
Sun_(1998);Asteraceae;Centaurea;solstitialis;Centaurea_solstitialis;D;Annual;Herb;27.77;;;0.8;0.3;1;0.956;;;0.015;9448;Sun, M., and K. Ritland. 1998. Mating system of yellow starthistle (Centaurea solstitialis), a successful colonizer in North America. Heredity 80:225_232.
